Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK,City,State
Apartments,1.0,1.0,Unfurnished,540,Ready to Move,30.0,650.0,East,1.0,15200000.0,"Teen Hath Naka, Thane, Maharashtra",1.0,Thane,Maharashtra
Houses & Villas,4.0,,Unfurnished,1800,Ready to Move,2.0,1800.0,South,1.0,9200000.0,"Beltarodi, Nagpur, Maharashtra",,Nagpur,Maharashtra
Houses & Villas,4.0,4.0,Semi-Furnished,1032,Ready to Move,1.0,1632.0,East,2.0,8500000.0,"Railway Staff Colony, Jatani, Odisha",4.0,Jatani,Odisha
Apartments,2.0,3.0,Furnished,880,Ready to Move,7.0,975.0,West,1.0,6700000.0,"Chandkheda, Ahmedabad, Gujarat",2.0,Ahmedabad,Gujarat
Houses & Villas,3.0,3.0,Semi-Furnished,1400,Ready to Move,1.0,3000.0,West,1.0,7000000.0,"Civil Lines, Nagpur, Maharashtra",3.0,Nagpur,Maharashtra
Apartments,2.0,2.0,Unfurnished,800,Ready to Move,7.0,1150.0,North-West,1.0,29500000.0,"Andheri West, Mumbai, Maharashtra",2.0,Mumbai,Maharashtra
Houses & Villas,3.0,1.0,Semi-Furnished,730,Ready to Move,1.0,1250.0,South,1.0,6000000.0,"Jawahar Nagar, Lucknow, Uttar Pradesh",3.0,Lucknow,Uttar Pradesh
Builder Floors,3.0,1.0,Semi-Furnished,650,Ready to Move,5.0,850.0,South-East,0.0,6200000.0,"Ripon Street Area, Kolkata, West Bengal",3.0,Kolkata,West Bengal
Apartments,3.0,3.0,Unfurnished,1141,Under Construction,30.0,1483.0,East,1.0,14200000.0,"Kharadi, Pune, Maharashtra",3.0,Pune,Maharashtra
Apartments,1.0,1.0,Unfurnished,259,Ready to Move,5.0,309.0,East,1.0,4800000.0,"Andheri West, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Apartments,1.0,2.0,Furnished,300,Ready to Move,7.0,425.0,West,0.0,9500000.0,"Bandra West, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Builder Floors,4.0,1.0,Furnished,10000,Ready to Move,6.0,1000.0,North-West,0.0,2500000.0,"Topsia, Kolkata, West Bengal",4.0,Kolkata,West Bengal
Builder Floors,2.0,2.0,Semi-Furnished,450,Ready to Move,4.0,495.0,,,2150000.0,"Nawada, Delhi, Delhi",2.0,Delhi,Delhi
Apartments,1.0,2.0,Unfurnished,435,New Launch,25.0,435.0,North-East,1.0,5700000.0,"Kurla East, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Houses & Villas,4.0,3.0,Furnished,450,Ready to Move,3.0,1050.0,South-West,1.0,3500000.0,"Aishbagh, Lucknow, Uttar Pradesh",4.0,Lucknow,Uttar Pradesh
Apartments,3.0,2.0,Semi-Furnished,1300,Under Construction,6.0,1500.0,West,1.0,5500000.0,"Wathoda, Nagpur, Maharashtra",3.0,Nagpur,Maharashtra
Houses & Villas,4.0,4.0,Semi-Furnished,900,Ready to Move,3.0,1000.0,North,,12000000.0,"Old Vadaj, Ahmedabad, Gujarat",4.0,Ahmedabad,Gujarat
Apartments,,,,500,,,610.0,,,16864000.0,"Chembur, Mumbai, Maharashtra",,Mumbai,Maharashtra
Apartments,2.0,2.0,Unfurnished,649,Under Construction,14.0,950.0,East,1.0,3500000.0,"Panvel, Navi Mumbai, Maharashtra",2.0,Navi Mumbai,Maharashtra
Apartments,2.0,2.0,Unfurnished,1200,New Launch,5.0,1500.0,North-East,2.0,6500000.0,"Patia, Bhubaneshwar, Odisha",2.0,Bhubaneshwar,Odisha
Apartments,2.0,2.0,Unfurnished,800,Ready to Move,24.0,1050.0,East,1.0,8500000.0,"Kharadi, Pune, Maharashtra",2.0,Pune,Maharashtra
Apartments,3.0,2.0,Semi-Furnished,1350,Under Construction,4.0,1750.0,East,1.0,9300000.0,"Pandara, Bhubaneshwar, Odisha",3.0,Bhubaneshwar,Odisha
Builder Floors,2.0,2.0,Unfurnished,600,Ready to Move,12.0,1080.0,East,1.0,9000000.0,"Ulwe, Navi Mumbai, Maharashtra",2.0,Navi Mumbai,Maharashtra
Builder Floors,3.0,1.0,Furnished,800,New Launch,2.0,800.0,,0.0,3500000.0,"Aminabad, Lucknow, Uttar Pradesh",3.0,Lucknow,Uttar Pradesh
Houses & Villas,2.0,2.0,Furnished,875,Ready to Move,1.0,1015.0,North-East,1.0,5250000.0,"Aliganj, Lucknow, Uttar Pradesh",2.0,Lucknow,Uttar Pradesh
Apartments,3.0,2.0,Unfurnished,1250,Ready to Move,10.0,1573.0,South-East,1.0,10500000.0,"Tangra, Kolkata, West Bengal",3.0,Kolkata,West Bengal
Apartments,2.0,1.0,Semi-Furnished,855,Ready to Move,3.0,1181818.0,,0.0,4300000.0,"Naranpura, Ahmedabad, Gujarat",2.0,Ahmedabad,Gujarat
Builder Floors,1.0,1.0,Unfurnished,400,Ready to Move,4.0,614.0,East,,2000000.0,"Kasheli Village, Bhiwandi, Maharashtra",1.0,Bhiwandi,Maharashtra
Apartments,2.0,2.0,Semi-Furnished,1150,Ready to Move,4.0,1150.0,North-East,1.0,4000000.0,"Akbari Gate, Lucknow, Uttar Pradesh",2.0,Lucknow,Uttar Pradesh
Houses & Villas,1.0,1.0,Unfurnished,210,Ready to Move,0.0,12.0,South-East,0.0,650000.0,"Yerwada, Pune, Maharashtra",1.0,Pune,Maharashtra
Apartments,3.0,2.0,Unfurnished,97,Ready to Move,9.0,905.0,North-East,1.0,6500000.0,"Chandkheda, Ahmedabad, Gujarat",3.0,Ahmedabad,Gujarat
Houses & Villas,3.0,3.0,Semi-Furnished,1100,Ready to Move,,1700.0,East,1.0,6000000.0,"Indira Nagar, Lucknow, Uttar Pradesh",3.0,Lucknow,Uttar Pradesh
,,,,,,,,,,,,,,
Houses & Villas,4.0,4.0,Furnished,4100,Ready to Move,4.0,8000.0,North-East,3.0,60000000.0,"Mahanagar, Lucknow, Uttar Pradesh",4.0,Lucknow,Uttar Pradesh
Apartments,3.0,3.0,Unfurnished,771,Under Construction,7.0,1187.0,,,4748000.0,"Kapurbawdi, Thane, Maharashtra",3.0,Thane,Maharashtra
Houses & Villas,2.0,2.0,Furnished,950,Ready to Move,,1320.0,West,1.0,4700000.0,"Hansapal, Bhubaneshwar, Odisha",2.0,Bhubaneshwar,Odisha
Apartments,4.0,4.0,Unfurnished,2800,Ready to Move,72.0,4400.0,West,2.0,120000000.0,"Worli, Mumbai, Maharashtra",4.0,Mumbai,Maharashtra
Apartments,1.0,1.0,Unfurnished,436,Ready to Move,3.0,609.0,East,1.0,7000000.0,"Kharghar, Navi Mumbai, Maharashtra",1.0,Navi Mumbai,Maharashtra
Apartments,2.0,2.0,Unfurnished,110,Ready to Move,9.0,130.0,East,1.0,4900000.0,"Chandkheda, Ahmedabad, Gujarat",2.0,Ahmedabad,Gujarat
Houses & Villas,4.0,3.0,Semi-Furnished,1240,Ready to Move,1.0,1240.0,East,1.0,6500000.0,"Chauk, Lucknow, Uttar Pradesh",4.0,Lucknow,Uttar Pradesh
Houses & Villas,,,,1000,,,1000.0,,,1498000.0,"Olpherts Lines, Lucknow, Uttar Pradesh",,Lucknow,Uttar Pradesh
